epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0017,1.93121,6.66875,2.18766,0.00309,0.16667,0.01843,0.01106,1.58967,9.93637,2.17089,1.176e-05,1.176e-05,1.176e-05
2,24.1638,1.87103,6.5214,2.06806,0.00292,0.16667,0.01843,0.01106,1.49111,10.1838,2.09123,2.89149e-05,2.89149e-05,2.89149e-05
3,25.5944,1.77447,6.19058,1.96525,0.99202,0.16667,0.16783,0.08332,1.71365,7.48317,2.1713,4.54877e-05,4.54877e-05,4.54877e-05
4,27.2252,1.73799,5.21308,1.92849,0.99418,0.16667,0.253,0.15839,1.69278,6.86723,2.28433,6.14783e-05,6.14783e-05,6.14783e-05
5,29.1513,1.57645,4.50536,1.71914,0.93424,0.33333,0.59317,0.27757,2.11157,7.02635,3.06328,7.68869e-05,7.68869e-05,7.68869e-05
6,31.2309,1.47018,3.43931,1.63056,0.96582,0.33333,0.70479,0.42868,1.94176,8.17374,3.01587,9.17133e-05,9.17133e-05,9.17133e-05
7,32.7488,1.33114,3.34133,1.59297,0.90361,0.5,0.86233,0.41624,1.78366,7.4574,2.58354,0.000105958,0.000105958,0.000105958
8,34.3249,1.52105,2.93723,1.67482,0.68543,0.83333,0.88444,0.45162,1.84702,6.90363,2.47335,0.00011962,0.00011962,0.00011962
9,35.9258,1.33103,2.71775,1.50155,0.83724,1,0.995,0.61773,1.44734,5.65623,2.01926,0.0001327,0.0001327,0.0001327
10,37.4051,1.24394,2.4724,1.51144,0.70461,1,0.995,0.66333,1.35345,4.83696,1.91683,0.000145198,0.000145198,0.000145198
11,38.9802,1.18855,2.24304,1.45807,0.86438,0.66667,0.91208,0.56383,1.35572,4.86897,1.93276,0.000157114,0.000157114,0.000157114
12,40.4333,1.1968,2.4122,1.52639,0.59837,0.83333,0.88444,0.52514,1.48927,4.44225,2.12279,0.000168447,0.000168447,0.000168447
13,42.4381,1.27438,2.08788,1.39719,0.63213,0.83333,0.82917,0.38418,1.62286,4.56002,2.35658,0.000179199,0.000179199,0.000179199
14,44.0995,1.28408,2.00949,1.47428,0.57873,0.83333,0.74625,0.41873,1.58215,4.37771,2.40087,0.000189368,0.000189368,0.000189368
15,45.6902,1.1667,1.94157,1.41515,0.80705,0.66667,0.995,0.54725,1.63811,4.03586,2.59018,0.000198956,0.000198956,0.000198956
16,47.2195,1.1329,1.61311,1.33492,0.4648,1,0.91208,0.4975,1.48121,3.61007,2.26367,0.000207961,0.000207961,0.000207961
17,48.7089,1.12691,1.7948,1.39113,0.79601,0.78951,0.80153,0.50049,1.58145,2.87582,2.02627,0.000216384,0.000216384,0.000216384
18,50.2075,1.08068,1.62511,1.33925,0.64102,0.83333,0.80153,0.52237,1.51686,2.79409,2.00306,0.000224225,0.000224225,0.000224225
19,51.6653,1.17083,1.65663,1.4131,0.71795,1,0.91208,0.56936,1.32842,2.59935,1.92721,0.000231484,0.000231484,0.000231484
20,53.1104,1.06179,1.44846,1.31787,0.63503,1,0.995,0.61358,1.35355,2.08858,1.9756,0.000238161,0.000238161,0.000238161
21,55.1134,1.19296,1.6015,1.44119,0.80782,1,0.995,0.60529,1.55558,1.54414,2.12933,0.000244255,0.000244255,0.000244255
22,57.1418,1.01042,1.4028,1.29504,0.68975,1,0.91208,0.53864,1.63327,1.45627,2.27172,0.000249768,0.000249768,0.000249768
23,58.6794,1.04366,1.47038,1.27619,0.61558,1,0.995,0.55278,1.69425,1.44518,2.44968,0.000254698,0.000254698,0.000254698
24,60.044,1.11589,1.47176,1.3045,0.76544,1,0.995,0.58042,1.68172,1.40432,2.53579,0.000259046,0.000259046,0.000259046
25,61.7827,1.11447,1.31835,1.30494,0.77621,1,0.995,0.48423,1.87519,1.29743,2.77042,0.000262812,0.000262812,0.000262812
26,63.2508,1.08772,1.50791,1.35195,0.55326,1,0.995,0.4837,2.05481,1.55308,2.94061,0.000265996,0.000265996,0.000265996
27,64.6118,1.06455,1.2986,1.26234,0.59624,1,0.995,0.49957,1.97875,1.43501,2.93784,0.000268598,0.000268598,0.000268598
28,66.2321,0.98489,1.1624,1.23869,0.76805,1,0.995,0.5147,1.86571,1.20827,2.9546,0.000270618,0.000270618,0.000270618
29,67.9815,0.99083,1.12669,1.25729,0.76805,1,0.995,0.5147,1.86571,1.20827,2.9546,0.000272056,0.000272056,0.000272056
30,69.9896,0.97209,1.19869,1.2056,0.79272,1,0.995,0.58042,1.8007,0.96371,3.0391,0.000272911,0.000272911,0.000272911
31,71.5005,0.97421,1.21035,1.19635,0.73889,1,0.91208,0.56217,1.69369,0.9494,3.01558,0.000273185,0.000273185,0.000273185
32,72.9151,0.91818,1.18862,1.17841,0.6147,1,0.995,0.59976,1.82097,1.03552,3.0154,0.000272876,0.000272876,0.000272876
33,74.3052,1.01153,1.17062,1.23033,0.6147,1,0.995,0.59976,1.82097,1.03552,3.0154,0.000271985,0.000271985,0.000271985
34,75.6943,0.95979,1.03246,1.23273,0.89867,0.83333,0.995,0.50117,1.90545,1.28922,2.811,0.000267834,0.000267834,0.000267834
35,77.101,1.03153,1.19067,1.27846,0.71518,1,0.995,0.53896,1.82135,1.24454,2.77705,0.000258132,0.000258132,0.000258132
36,78.5941,0.96551,1.06014,1.19445,0.75861,1,0.995,0.55554,1.80229,1.23099,2.8551,0.00024843,0.00024843,0.00024843
37,80.0414,0.98045,1.03808,1.22597,0.75861,1,0.995,0.55554,1.80229,1.23099,2.8551,0.000238728,0.000238728,0.000238728
38,82.3273,0.92317,1.01006,1.17336,0.77675,1,0.995,0.49821,1.92947,1.07581,2.96362,0.000229026,0.000229026,0.000229026
39,84.0824,0.97688,0.99494,1.19099,0.76068,1,0.995,0.49961,1.89792,0.80993,3.05636,0.000219324,0.000219324,0.000219324
40,85.4854,0.88341,0.94094,1.12995,0.61258,0.83333,0.83489,0.51523,1.87134,0.83539,3.07288,0.000209622,0.000209622,0.000209622
41,86.8832,0.96598,1.03583,1.17133,0.61258,0.83333,0.83489,0.51523,1.87134,0.83539,3.07288,0.00019992,0.00019992,0.00019992
42,88.2636,0.90159,0.89004,1.17453,0.7007,1,0.995,0.49837,1.8491,0.82385,2.96449,0.000190218,0.000190218,0.000190218
43,89.7171,0.90845,1.00147,1.20019,0.74188,1,0.995,0.54725,1.74958,0.73343,2.74235,0.000180516,0.000180516,0.000180516
44,91.1425,0.89652,0.97362,1.18766,0.71415,1,0.995,0.58042,1.7552,0.76049,2.5765,0.000170814,0.000170814,0.000170814
45,92.606,0.9237,0.91498,1.11578,0.71415,1,0.995,0.58042,1.7552,0.76049,2.5765,0.000161112,0.000161112,0.000161112
46,94.6022,0.75437,0.92184,1.09646,0.79802,1,0.995,0.61358,1.55131,0.68784,2.39268,0.00015141,0.00015141,0.00015141
47,96.44,0.86155,0.89578,1.11318,0.85086,1,0.995,0.64675,1.44422,0.65568,2.25854,0.000141708,0.000141708,0.000141708
48,97.8688,0.84062,0.9,1.15592,0.88615,1,0.995,0.61358,1.57618,0.64507,2.28676,0.000132006,0.000132006,0.000132006
49,99.1688,0.78326,0.8525,1.07829,0.88615,1,0.995,0.61358,1.57618,0.64507,2.28676,0.000122304,0.000122304,0.000122304
50,100.717,0.72343,0.83612,1.06237,0.92049,1,0.995,0.5662,1.65152,0.69014,2.35714,0.000112602,0.000112602,0.000112602
51,105.291,0.88366,1.20594,1.14671,0.88482,1,0.995,0.54962,1.62812,0.67151,2.36774,0.0001029,0.0001029,0.0001029
52,108.424,0.82066,1.14899,1.10072,0.85032,1,0.995,0.49815,1.67888,0.71088,2.39186,9.3198e-05,9.3198e-05,9.3198e-05
53,110.673,0.79369,1.11656,1.10702,0.85032,1,0.995,0.49815,1.67888,0.71088,2.39186,8.3496e-05,8.3496e-05,8.3496e-05
54,112.089,0.72329,1.06973,1.11577,0.82949,1,0.995,0.52238,1.696,0.72357,2.41407,7.3794e-05,7.3794e-05,7.3794e-05
55,113.512,0.7218,1.10018,1.11543,0.8248,1,0.995,0.51616,1.70317,0.73379,2.39936,6.4092e-05,6.4092e-05,6.4092e-05
56,115.066,0.71014,1.01152,1.11772,0.81965,1,0.995,0.54725,1.7233,0.72991,2.37834,5.439e-05,5.439e-05,5.439e-05
57,116.461,0.7891,1.03834,1.14893,0.81965,1,0.995,0.54725,1.7233,0.72991,2.37834,4.4688e-05,4.4688e-05,4.4688e-05
58,117.948,0.73823,1.00789,1.07163,0.82252,1,0.995,0.53067,1.74227,0.74282,2.38474,3.4986e-05,3.4986e-05,3.4986e-05
59,119.626,0.71242,1.02455,1.11753,0.83385,1,0.995,0.53067,1.7655,0.77461,2.39085,2.5284e-05,2.5284e-05,2.5284e-05
60,121.702,0.74172,1.04696,1.08005,0.84568,1,0.995,0.53435,1.78741,0.80821,2.41132,1.5582e-05,1.5582e-05,1.5582e-05
